Date,Ottawa,Quebec,Alberta,Manitoba,
9/20/2020,2,7,11,35,
9/21/2020,3,1,12,35,
9/22/2020,3,5,13,35,
9/23/2020,3,7,15,35,
9/24/2020,3,9,15,35,
9/25/2020,3,7,16,35,
9/26/2020,4,4,16,35,
9/27/2020,4,4,14,37,
9/28/2020,4,8,12,37,
9/29/2020,3,11,12,37,
9/30/2020,5,12,13,37,
10/1/2020,5,9,15,37,
10/2/2020,5,12,16,37,
10/3/2020,6,9,16,37,
10/4/2020,6,6,14,42,
10/5/2020,6,8,16,42,
10/6/2020,7,13,15,42,
10/7/2020,10,13,13,42,
10/8/2020,9,4,12,42,
10/9/2020,9,9,11,42,
10/10/2020,9,16,13,42,
10/11/2020,10,9,14,0,
10/12/2020,10,10,12,0,
10/13/2020,8,9,13,0,
10/14/2020,8,10,15,0,
10/15/2020,9,9,10,0,
10/16/2020,9,12,12,0,
10/17/2020,9,8,13,0,
10/18/2020,7,7,16,67,
10/19/2020,7,13,15,67,
10/20/2020,6,6,16,67,
10/21/2020,5,6,18,67,
10/22/2020,4,8,14,67,
10/23/2020,4,6,15,67,
10/24/2020,4,7,16,67,
10/25/2020,4,9,15,0,
10/26/2020,5,4,16,0,
10/27/2020,5,7,20,0,
10/28/2020,4,6,18,0,
10/29/2020,4,9,25,0,
10/30/2020,4,4,23,0,
10/31/2020,4,5,23,0,
