Date,,,Cases,,,,
10/10/2020,,,13,,,,
10/11/2020,,,14,,,,
10/12/2020,,,12,,,,
10/13/2020,,,13,,,,
10/14/2020,,,15,,,,
10/15/2020,,,10,,,,
10/16/2020,,,12,,,,
10/17/2020,,,13,,,,
10/18/2020,,,16,,,,
10/19/2020,,,15,,,,
10/20/2020,,,16,,,,
10/21/2020,,,18,,,,
10/22/2020,,,14,,,,
10/23/2020,,,15,,,,
10/24/2020,,,16,,,,
10/25/2020,,,15,,,,
10/26/2020,,,16,,,,
10/27/2020,,,20,,,,
10/28/2020,,,18,,,,
10/29/2020,,,25,,,,
10/30/2020,,,23,,,,
10/31/2020,,,23,,,,
11/01/2020,,,27,,,,
11/02/2020,,,27,,,,
11/03/2020,,,30,,,,
11/04/2020,,,33,,,,
11/05/2020,,,33,,,,
11/06/2020,,,34,,,,
11/07/2020,,,37,,,,
11/08/2020,,,41,,,,
11/09/2020,,,45,,,,
11/10/2020,,,46,,,,
11/11/2020,,,51,,,,
11/12/2020,,,53,,,,
11/13/2020,,,55,,,,
11/14/2020,,,56,,,,
11/15/2020,,,56,,,,
11/16/2020,,,57,,,,
11/17/2020,,,59,,,,
11/18/2020,,,61,,,,
11/19/2020,,,58,,,,
11/20/2020,,,61,,,,
